CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;A001;A002;A002_04;A003_01;A004;A005_01;A006_01;A007;A007_01;A007_02;A007_03;A007_04;A007_05;A007_06;A007_07;A101_01;A102_01;A103_01;A104_01;A105_01;A106_01;A107_01;A108_01;A109_01;A110_01;A111_01;A112_01;A113_01;A114_01;A115_01;A177_01;A201;A201_01;A201_04;A201_02;A201_05;A201_03;A201_06;A202;A202_01;A202_04;A202_02;A202_05;A202_03;A202_06;A203;A203_01;A203_04;A203_02;A203_05;A203_03;A203_06;A204;A204_01;A204_04;A204_02;A204_05;A204_03;A204_06;RG01_CP;RG01;RG09_01;RG09_02;RG09_03;RG09_04;RG09_05;RG09_06;RG09_07;RG09_08;RG09_09;RG09_10;RG09_11;RG09_12;RG09_13;RG09_14;RG09_15;V101_01;V101_02;V101_03;V101_04;V101_05;V101_06;V101_07;V101_08;V101_09;V101_10;V101_11;V101_12;V101_13;V101_14;V101_15;V102_01;V102_02;V102_03;V102_04;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME012;TIME013;TIME014;TIME015;TIME016;TIME017;TIME018;TIME019;TIME020;TIME021;TIME022;TIME_SUM;MAILSENT;LASTDATA;STATUS;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI
41;;;starting_point;interview;2025-02-21 17:42:33;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;3;;;;;;;;;;;;;;;;;;;;;18;;2025-02-21 17:42:51;;0;0;2;2;0;0;1,10
42;CASE000041;41;group3;interview;2025-02-21 17:42:51;24;3;;3;;2;5;2;1;1;1;1;1;2;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;3;9;4;6;5;7;11;14;12;2;10;13;1;8;card_15_heroic.jpg;card_3_heroic.png;;;;;;;;;;;;;;;;;;30;41;;;;;;;;;;;;;;;;;;;;;71;;2025-02-21 17:44:02;;0;0;2;2;9;2;
44;;;starting_point;interview;2025-02-22 08:27:29;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;4;;;;;;;;;;;;;;;;;;;;;29;;2025-02-22 08:27:58;;0;0;2;2;0;0;0,76
45;CASE000044;44;group3;interview;2025-02-22 08:27:58;13;2;;5;;4;5;5;2;2;2;1;2;1;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;3;4;9;6;11;1;14;7;5;12;15;2;13;10;card_8_cute.jpg;card_3_heroic.png;;;;;;;;;;;;;;;;;;26;57;;;;;;;;;;;;;;;;;;;;;83;;2025-02-22 08:29:21;;0;0;2;2;9;2;
56;;;starting_point;interview;2025-02-22 13:08:38;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;6;;;;;;;;;;;;;;;;;;;;;48;;2025-02-22 13:09:26;;0;0;2;2;0;0;0,49
57;CASE000056;56;group1;interview;2025-02-22 13:09:26;17;2;;4;;4;5;1;1;1;2;1;1;1;1;4;2;1;2;4;2;3;6;2;3;3;3;4;4;3;;2;1;2;1;1;1;2;2;1;2;1;1;1;2;2;2;1;2;1;1;1;2;2;1;1;1;2;1;;;3;12;1;5;7;10;13;4;2;14;15;11;8;6;9;card_3_nothing.jpg;card_12_nothing.jpg;card_1_cute.png;card_5_heroic.jpg;card_7_cute.jpg;card_10_cute.jpg;card_13_cute.jpg;card_4_cute.png;card_2_heroic.jpg;card_14_heroic.jpg;card_15_nothing.jpg;card_11_heroic.jpg;card_8_heroic.jpg;card_6_nothing.jpg;card_9_nothing.jpg;MC_card_1_heroic.png;MC_card_2_heroic.png;MC_card_2_cute.png;MC_card_1_cute.png;28;490;23;20;18;23;15;14;17;10;15;13;2345;14;25;9;13;7;9;6;2;6;3122;;2025-02-22 14:01:29;;1;0;22;22;19;4;
58;;;starting_point;interview;2025-02-22 13:32:30;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;4;;;;;;;;;;;;;;;;;;;;;13;;2025-02-22 13:32:43;;0;0;2;2;0;0;1,22
59;CASE000058;58;group2;interview;2025-02-22 13:32:43;8;2;;5;;2;3;2;2;1;2;1;1;1;1;4;5;1;5;4;6;3;2;4;5;4;4;6;5;6;;2;1;1;1;2;1;2;2;2;1;2;1;1;1;2;1;1;1;2;1;2;2;2;1;2;1;1;1;;;6;10;15;11;3;13;2;12;9;7;4;8;14;1;5;card_6_cute.jpg;card_10_heroic.jpg;card_15_cute.jpg;card_11_nothing.jpg;card_3_cute.png;card_13_heroic.jpg;card_2_nothing.jpg;card_12_cute.jpg;card_9_cute.jpg;card_7_heroic.jpg;card_4_heroic.jpg;card_8_nothing.jpg;card_14_nothing.jpg;card_1_heroic.png;card_5_nothing.jpg;MC_card_2_heroic.png;MC_card_2_cute.png;MC_card_1_heroic.png;MC_card_1_cute.png;29;69;27;22;16;21;16;11;15;13;26;13;10;29;12;43;13;4;5;6;2;6;408;;2025-02-22 13:39:31;;1;0;22;22;19;4;1,24
60;;;starting_point;interview;2025-02-22 13:44:08;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;2;;;;;;;;;;;;;;;;;;;;;14;;2025-02-22 13:44:23;;0;0;2;2;0;0;1,54
61;CASE000060;60;group3;interview;2025-02-22 13:44:23;11;2;;5;;4;4;3;2;2;2;1;1;1;1;4;6;6;7;5;3;1;4;4;4;4;2;3;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;5;6;13;14;15;12;8;7;11;10;9;2;3;4;card_1_nothing.jpg;card_5_cute.jpg;card_6_heroic.jpg;card_13_nothing.jpg;card_14_cute.jpg;card_15_heroic.jpg;card_12_heroic.jpg;card_8_cute.jpg;card_7_nothing.jpg;card_11_cute.jpg;card_10_nothing.jpg;card_9_heroic.jpg;card_2_cute.png;card_3_heroic.png;card_4_nothing.jpg;MC_card_1_heroic.png;;;;34;60;69;273;45;51;20;24;33;24;19;30;13;18;19;15;;;;;;;747;;2025-02-22 13:56:50;;0;0;16;16;10;2;
62;;;starting_point;interview;2025-02-22 13:55:30;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38;4;;;;;;;;;;;;;;;;;;;;;42;;2025-02-22 13:56:12;;0;0;2;2;0;0;0,67
63;CASE000062;62;group2;interview;2025-02-22 13:56:12;21;2;;5;;4;5;4;2;2;2;1;1;1;2;3;4;5;3;3;2;4;3;5;4;1;5;2;4;5;No real broken cards, just some limited bombs, and standard cards. Nothing beyond that.;3;1;2;1;2;1;2;3;2;1;2;1;2;1;2;2;1;1;2;1;1;3;1;2;1;2;1;2;;;3;14;11;15;7;13;9;10;4;2;1;5;12;6;8;card_3_cute.png;card_14_nothing.jpg;card_11_nothing.jpg;card_15_cute.jpg;card_7_heroic.jpg;card_13_heroic.jpg;card_9_cute.jpg;card_10_heroic.jpg;card_4_heroic.jpg;card_2_nothing.jpg;card_1_heroic.png;card_5_nothing.jpg;card_12_cute.jpg;card_6_cute.jpg;card_8_nothing.jpg;MC_card_1_heroic.png;MC_card_1_cute.png;MC_card_2_cute.png;MC_card_2_heroic.png;30;84;80;17;20;20;24;12;19;17;18;19;21;22;46;24;13;5;82;7;44;11;635;;2025-02-22 14:06:47;;1;0;22;22;17;4;1,03
64;;;starting_point;interview;2025-02-22 14:01:39;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;3;;;;;;;;;;;;;;;;;;;;;11;;2025-02-22 14:01:50;;0;0;2;2;0;0;1,48
65;CASE000064;64;group1;interview;2025-02-22 14:01:50;12;2;;5;;4;4;1;1;1;2;1;1;1;1;1;4;1;3;3;2;4;4;4;4;5;3;6;1;6;;1;1;1;1;1;1;2;3;2;1;2;1;2;1;2;1;2;1;1;1;2;2;1;2;1;1;1;2;;;1;4;14;9;12;15;3;11;5;8;10;7;6;2;13;card_1_cute.png;card_4_cute.png;card_14_heroic.jpg;card_9_nothing.jpg;card_12_nothing.jpg;card_15_nothing.jpg;card_3_nothing.jpg;card_11_heroic.jpg;card_5_heroic.jpg;card_8_heroic.jpg;card_10_cute.jpg;card_7_cute.jpg;card_6_nothing.jpg;card_2_heroic.jpg;card_13_cute.jpg;MC_card_2_cute.png;MC_card_1_cute.png;MC_card_1_heroic.png;MC_card_2_heroic.png;33;96;82;76;65;58;59;80;64;90;69;47;37;84;63;165;21;15;7;11;2;42;1266;;2025-02-22 14:22:57;;1;0;22;22;1;1;
69;;;starting_point;interview;2025-02-22 14:20:43;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;7;;;;;;;;;;;;;;;;;;;;;37;;2025-02-22 14:21:20;;0;0;2;2;0;0;0,50
70;CASE000069;69;group3;interview;2025-02-22 14:21:20;9;2;;5;;4;5;3;1;1;2;1;1;2;2;4;4;3;3;2;5;2;1;3;4;3;2;4;1;4;;2;1;2;1;1;1;2;2;2;1;2;1;1;1;2;1;2;1;1;1;2;3;2;1;2;1;2;1;;;6;5;13;8;2;3;7;12;14;11;15;9;4;1;10;card_6_heroic.jpg;card_5_cute.jpg;card_13_nothing.jpg;card_8_cute.jpg;card_2_cute.png;card_3_heroic.png;card_7_nothing.jpg;card_12_heroic.jpg;card_14_cute.jpg;card_11_cute.jpg;card_15_heroic.jpg;card_9_heroic.jpg;card_4_nothing.jpg;card_1_nothing.jpg;card_10_nothing.jpg;MC_card_2_heroic.png;MC_card_2_cute.png;MC_card_1_heroic.png;MC_card_1_cute.png;27;65;49;28;24;20;33;22;11;19;20;14;13;13;15;12;8;10;6;4;3;7;423;;2025-02-22 14:28:24;;1;0;22;22;19;4;
71;;;starting_point;interview;2025-02-22 14:23:20;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;6;;2025-02-22 14:23:26;;0;0;2;2;0;0;2,17
72;CASE000071;71;group2;interview;2025-02-22 14:23:26;22;2;;5;;4;4;3;2;2;2;1;1;1;1;4;6;4;2;2;1;1;3;2;4;4;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;6;7;12;14;15;3;13;2;9;4;11;1;10;5;card_8_nothing.jpg;card_6_cute.jpg;card_7_heroic.jpg;card_12_cute.jpg;card_14_nothing.jpg;card_15_cute.jpg;card_3_cute.png;card_13_heroic.jpg;card_2_nothing.jpg;card_9_cute.jpg;card_4_heroic.jpg;card_11_nothing.jpg;card_1_heroic.png;card_10_heroic.jpg;;;;;;21;59;41;23;18;18;19;21;27;14;19;20;43;15;;;;;;;;;358;;2025-02-22 14:29:24;;0;0;14;14;17;3;1,07
75;;;starting_point;interview;2025-02-22 17:35:33;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;3;;;;;;;;;;;;;;;;;;;;;8;;2025-02-22 17:35:41;;0;0;2;2;0;0;1,97
