CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;A001;A002;A003_01;A004;A005_01;A006_01;A007;A007_01;A007_02;A007_03;A007_04;A007_05;A007_06;A007_07;A101_01;A102_01;A103_01;A104_01;A105_01;A106_01;A107_01;A108_01;A109_01;A110_01;A111_01;A112_01;A113_01;A114_01;A115_01;A177_01;A201;A201_01;A201_04;A201_02;A201_05;A201_03;A201_06;A202;A202_01;A202_04;A202_02;A202_05;A202_03;A202_06;A203;A203_01;A203_04;A203_02;A203_05;A203_03;A203_06;A204;A204_01;A204_04;A204_02;A204_05;A204_03;A204_06;RG01_CP;RG01;RG09_01;RG09_02;RG09_03;RG09_04;RG09_05;RG09_06;RG09_07;RG09_08;RG09_09;RG09_10;RG09_11;RG09_12;RG09_13;RG09_14;RG09_15;V101_01;V101_02;V101_03;V101_04;V101_05;V101_06;V101_07;V101_08;V101_09;V101_10;V101_11;V101_12;V101_13;V101_14;V101_15;V102_01;V102_02;V102_03;V102_04;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME012;TIME013;TIME014;TIME015;TIME016;TIME017;TIME018;TIME019;TIME020;TIME021;TIME022;TIME_SUM;MAILSENT;LASTDATA;STATUS;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI
173;CASE000170;170;group3;interview;2025-02-18 15:39:25;20;2;4;;4;3;3;1;1;2;1;1;2;2;6;3;4;4;2;3;4;3;2;3;3;4;4;4;4;;2;1;2;1;1;1;2;3;2;1;2;1;2;1;2;2;1;1;1;1;2;2;1;2;1;1;1;2;;;6;15;13;12;2;7;10;3;5;1;9;4;14;11;8;card_6_heroic.jpg;card_15_heroic.jpg;card_13_nothing.jpg;card_12_heroic.jpg;card_2_cute.png;card_7_nothing.jpg;card_10_nothing.jpg;card_3_heroic.png;card_5_cute.jpg;card_1_nothing.jpg;card_9_heroic.jpg;card_4_nothing.jpg;card_14_cute.jpg;card_11_cute.jpg;card_8_cute.jpg;MC_card_1_heroic.png;MC_card_1_cute.png;MC_card_2_cute.png;MC_card_2_heroic.png;70;157;81;69;113;63;79;143;76;92;75;61;114;133;84;82;33;20;19;22;4;20;1335;;2025-02-18 16:06:16;;1;0;22;22;19;5;0,52
175;;;starting_point;interview;2025-02-18 15:41:00;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;7;;;;;;;;;;;;;;;;;;;;;32;;2025-02-18 15:41:32;;0;0;2;2;0;0;0,79
176;;;starting_point;interview;2025-02-18 15:41:01;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;124;9;;;;;;;;;;;;;;;;;;;;;31;;2025-02-18 15:43:14;;1;0;2;2;0;0;0,36
177;;;starting_point;interview;2025-02-18 15:41:15;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;7;;;;;;;;;;;;;;;;;;;;;11;;2025-02-18 15:41:26;;1;0;2;2;0;0;1,86
178;;;starting_point;interview;2025-02-18 15:41:21;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;;;;;;;;;;;;;;;;;;;;;14;;2025-02-18 15:41:35;;0;0;2;2;0;0;1,86
179;CASE000175;175;group2;interview;2025-02-18 15:41:32;7;3;5;;4;5;4;1;1;2;2;1;2;2;4;6;2;4;3;4;1;6;2;1;2;4;4;3;4;;4;2;2;2;1;1;2;2;1;2;1;1;1;2;3;2;1;2;1;2;1;2;1;2;1;1;1;2;;;6;4;13;11;10;7;12;5;14;1;2;9;8;15;3;card_6_cute.jpg;card_4_heroic.jpg;card_13_heroic.jpg;card_11_nothing.jpg;card_10_heroic.jpg;card_7_heroic.jpg;card_12_cute.jpg;card_5_nothing.jpg;card_14_nothing.jpg;card_1_heroic.png;card_2_nothing.jpg;card_9_cute.jpg;card_8_nothing.jpg;card_15_cute.jpg;card_3_cute.png;MC_card_2_cute.png;MC_card_1_heroic.png;MC_card_1_cute.png;MC_card_2_heroic.png;40;63;46;50;44;60;40;21;58;39;25;28;23;26;32;23;23;10;9;4;4;14;682;;2025-02-18 15:52:54;;1;0;22;22;17;4;1,12
180;CASE000178;178;group3;interview;2025-02-18 15:41:35;13;2;4;;4;4;2;1;1;2;1;1;2;1;4;6;6;7;6;3;6;6;5;6;5;4;4;5;7;;3;2;1;2;1;2;1;3;1;2;1;2;1;2;3;2;1;2;1;2;1;3;1;2;1;2;1;2;;;1;2;10;13;9;12;6;14;7;4;3;8;15;11;5;card_1_nothing.jpg;card_2_cute.png;card_10_nothing.jpg;card_13_nothing.jpg;card_9_heroic.jpg;card_12_heroic.jpg;card_6_heroic.jpg;card_14_cute.jpg;card_7_nothing.jpg;card_4_nothing.jpg;card_3_heroic.png;card_8_cute.jpg;card_15_heroic.jpg;card_11_cute.jpg;card_5_cute.jpg;MC_card_2_cute.png;MC_card_2_heroic.png;MC_card_1_cute.png;MC_card_1_heroic.png;42;107;54;34;46;30;34;36;35;41;40;23;34;29;28;34;23;11;10;8;4;20;723;;2025-02-18 15:53:38;;1;0;22;22;19;5;1,01
181;;;starting_point;interview;2025-02-18 15:41:35;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;3;;2025-02-18 15:41:38;;0;0;2;2;0;0;2,75
182;CASE000181;181;group1;interview;2025-02-18 15:41:38;9;1;5;;4;5;1;1;1;1;1;1;1;2;6;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;3;2;4;5;10;7;14;15;13;1;9;6;12;8;card_11_heroic.jpg;card_3_nothing.jpg;card_2_heroic.jpg;card_4_cute.png;;;;;;;;;;;;;;;;65;92;31;45;;;;;;;;;;;;;;;;;;;233;;2025-02-18 15:45:31;;0;0;4;4;14;4;0,96
183;;;starting_point;interview;2025-02-18 15:43:26;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;7;;;;;;;;;;;;;;;;;;;;;13;;2025-02-18 15:43:39;;0;0;2;2;0;0;1,86
184;CASE000183;183;group2;interview;2025-02-18 15:43:39;14;2;4;;4;1;2;1;1;2;1;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;2;4;11;14;12;8;5;7;13;6;3;10;9;1;card_15_cute.jpg;card_2_nothing.jpg;;;;;;;;;;;;;;;;;;46;65;2845;;;;;;;;;;;;;;;;;;;;157;;2025-02-18 16:32:55;;0;0;3;3;9;2;0,72
188;;;starting_point;interview;2025-02-18 16:00:01;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;5;;;;;;;;;;;;;;;;;;;;;28;;2025-02-18 16:00:29;;0;0;2;2;0;0;0,97
189;CASE000188;188;group1;interview;2025-02-18 16:00:29;10;2;5;;3;4;3;1;2;2;1;1;2;1;5;3;3;3;2;2;6;2;2;3;1;2;7;5;2;;2;1;2;1;1;1;2;3;2;1;2;1;2;1;2;1;2;1;1;1;2;2;2;1;2;1;1;1;;;13;15;3;11;2;9;4;1;7;10;12;6;5;14;8;card_13_cute.jpg;card_15_nothing.jpg;card_3_nothing.jpg;card_11_heroic.jpg;card_2_heroic.jpg;card_9_nothing.jpg;card_4_cute.png;card_1_cute.png;card_7_cute.jpg;card_10_cute.jpg;card_12_nothing.jpg;card_6_nothing.jpg;card_5_heroic.jpg;card_14_heroic.jpg;card_8_heroic.jpg;MC_card_2_heroic.png;MC_card_1_cute.png;MC_card_1_heroic.png;MC_card_2_cute.png;32;122;45;67;112;14;36;84;46;21;34;22;14;45;30;16;13;7;6;12;5;21;753;;2025-02-18 16:13:53;;1;0;22;22;17;4;1,10
190;CASE000163;163;group1;interview;2025-02-18 16:01:45;9;2;3;;4;5;1;1;1;1;1;1;2;1;4;7;4;5;6;5;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;12;1;10;14;3;5;6;7;11;13;15;4;8;2;card_9_nothing.jpg;card_12_nothing.jpg;card_1_cute.png;card_10_cute.jpg;card_14_heroic.jpg;card_3_nothing.jpg;card_5_heroic.jpg;card_6_nothing.jpg;;;;;;;;;;;;69;75;23;19;17;35;43;17;184254;;;;;;;;;;;;;;338;;2025-02-18 16:06:43;;0;0;8;9;15;4;1,28
191;;;starting_point;interview;2025-02-18 16:02:08;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;4;;;;;;;;;;;;;;;;;;;;;19;;2025-02-18 16:02:27;;0;0;2;2;0;0;1,34
192;CASE000191;191;group3;interview;2025-02-18 16:02:27;23;2;4;;4;4;4;1;2;2;1;1;2;2;6;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;11;12;7;3;1;2;13;10;8;6;4;14;5;9;card_15_heroic.jpg;card_11_cute.jpg;card_12_heroic.jpg;card_7_nothing.jpg;;;;;;;;;;;;;;;;51;71;126;46;;;;;;;;;;;;;;;;;;;294;;2025-02-18 16:07:22;;0;0;4;4;14;4;0,73
194;;;starting_point;interview;2025-02-18 16:15:08;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;4;;;;;;;;;;;;;;;;;;;;;31;;2025-02-18 16:15:39;;0;0;2;2;0;0;1,02
